waktu,brand,retail,production,sale
2011-01-01,DAIHATSU,11008,12590,12590
2011-01-01,HONDA,4027,4843,4928
2011-01-01,MITSUBISHI,10694,8606,10673
2011-01-01,SUZUKI,6253,7577,6630
2011-01-01,TOYOTA,26355,27973,27619
2011-02-01,DAIHATSU,10018,9959,9958
2011-02-01,HONDA,4044,3771,4558
2011-02-01,MITSUBISHI,9196,9054,10480
2011-02-01,SUZUKI,5722,7474,6802
2011-02-01,TOYOTA,25560,24160,25532
2011-03-01,DAIHATSU,11168,10086,10186
2011-03-01,HONDA,4505,3773,4193
2011-03-01,MITSUBISHI,12278,11176,13074
2011-03-01,SUZUKI,7626,8403,8016
2011-03-01,TOYOTA,32943,30678,32275
2011-04-01,DAIHATSU,10857,8160,8160
2011-04-01,HONDA,3519,1960,2056
2011-04-01,MITSUBISHI,11000,8657,10913
2011-04-01,SUZUKI,6585,7515,7256
2011-04-01,TOYOTA,21729,20723,21128
2011-05-01,DAIHATSU,10803,10433,10453
2011-05-01,HONDA,3914,2185,3673
2011-05-01,MITSUBISHI,9598,9016,11048
2011-05-01,SUZUKI,7205,8110,7520
2011-05-01,TOYOTA,20582,20206,19554
2011-06-01,DAIHATSU,11097,11020,11075
2011-06-01,HONDA,3938,2237,2165
2011-06-01,MITSUBISHI,10303,9161,11009
2011-06-01,SUZUKI,7070,8256,7519
2011-06-01,TOYOTA,26216,25618,26175
2011-07-01,DAIHATSU,13138,13661,14107
2011-07-01,HONDA,4705,4995,5234
2011-07-01,MITSUBISHI,11370,11750,13724
2011-07-01,SUZUKI,8483,8844,9258
2011-07-01,TOYOTA,30184,32019,30149
2011-08-01,DAIHATSU,11569,10711,11132
2011-08-01,HONDA,4854,4375,4600
2011-08-01,MITSUBISHI,10743,7266,8902
2011-08-01,SUZUKI,7505,7907,7445
2011-08-01,TOYOTA,26151,27590,25207
2011-09-01,DAIHATSU,11268,12485,12723
2011-09-01,HONDA,4376,4457,4887
2011-09-01,MITSUBISHI,9689,7110,7749
2011-09-01,SUZUKI,7421,9629,8261
2011-09-01,TOYOTA,30041,32631,30655
2011-10-01,DAIHATSU,13289,12425,13065
2011-10-01,HONDA,4133,3611,4024
2011-10-01,MITSUBISHI,11417,9690,11495
2011-10-01,SUZUKI,8721,11379,9271
2011-10-01,TOYOTA,31160,31791,31109
2011-11-01,DAIHATSU,11638,10039,10311
2011-11-01,HONDA,3587,2716,2907
2011-11-01,MITSUBISHI,11448,10794,13532
2011-11-01,SUZUKI,8981,11161,8732
2011-11-01,TOYOTA,16771,17576,15195
2011-12-01,DAIHATSU,11313,15134,15784
2011-12-01,HONDA,3772,1921,2191
2011-12-01,MITSUBISHI,11609,12262,11817
2011-12-01,SUZUKI,9007,9575,7859
2011-12-01,TOYOTA,26725,28682,26076
2012-01-01,DAIHATSU,13038,13120,13345
2012-01-01,HONDA,1901,1583,1553
2012-01-01,MITSUBISHI,10671,8963,11941
2012-01-01,SUZUKI,7889,4561,5600
2012-01-01,TOYOTA,29010,35405,28675
2012-02-01,DAIHATSU,12758,13214,13556
2012-02-01,HONDA,1808,2312,1904
2012-02-01,MITSUBISHI,11162,11465,12642
2012-02-01,SUZUKI,7701,8732,8488
2012-02-01,TOYOTA,33752,37564,32574
2012-03-01,DAIHATSU,13303,12665,13198
2012-03-01,HONDA,3934,4348,4686
2012-03-01,MITSUBISHI,11758,9803,11982
2012-03-01,SUZUKI,7851,6674,7176
2012-03-01,TOYOTA,33847,38245,32382
2012-04-01,DAIHATSU,13473,13112,13664
2012-04-01,HONDA,3496,3641,3732
2012-04-01,MITSUBISHI,11347,10204,12020
2012-04-01,SUZUKI,7250,6432,6791
2012-04-01,TOYOTA,34270,37469,33135
2012-05-01,DAIHATSU,14151,12878,13112
2012-05-01,HONDA,4955,6611,6733
2012-05-01,MITSUBISHI,12424,11122,12368
2012-05-01,SUZUKI,9712,12101,12012
2012-05-01,TOYOTA,35073,36887,33447
2012-06-01,DAIHATSU,14233,13126,13444
2012-06-01,HONDA,6570,6566,7410
2012-06-01,MITSUBISHI,12123,11317,13034
2012-06-01,SUZUKI,12121,10712,11389
2012-06-01,TOYOTA,35618,38135,35708
2012-07-01,DAIHATSU,14353,13239,13995
2012-07-01,HONDA,6433,6266,7486
2012-07-01,MITSUBISHI,13131,11784,12313
2012-07-01,SUZUKI,11511,13019,13233
2012-07-01,TOYOTA,35806,38166,35034
2012-08-01,DAIHATSU,11296,10430,11028
2012-08-01,HONDA,4865,3176,5040
2012-08-01,MITSUBISHI,9666,8220,9195
2012-08-01,SUZUKI,10125,9253,10125
2012-08-01,TOYOTA,25857,27915,24502
2012-09-01,DAIHATSU,13608,14523,15322
2012-09-01,HONDA,6236,4721,6968
2012-09-01,MITSUBISHI,11130,9510,11475
2012-09-01,SUZUKI,13311,13461,13068
2012-09-01,TOYOTA,32928,37679,23996
2012-10-01,DAIHATSU,14018,14260,14882
2012-10-01,HONDA,8406,6562,6284
2012-10-01,MITSUBISHI,15666,10215,12738
2012-10-01,SUZUKI,14015,15271,15655
2012-10-01,TOYOTA,32052,41019,26280
2012-11-01,DAIHATSU,14248,14217,14637
2012-11-01,HONDA,6547,5764,7653
2012-11-01,MITSUBISHI,13452,11597,14312
2012-11-01,SUZUKI,12510,15253,14390
2012-11-01,TOYOTA,34040,41206,35845
2012-12-01,DAIHATSU,14589,12483,12559
2012-12-01,HONDA,9134,4278,6117
2012-12-01,MITSUBISHI,12851,7558,10140
2012-12-01,SUZUKI,11505,7777,8650
2012-12-01,TOYOTA,37258,35773,33411
2013-01-01,DAIHATSU,14071,12877,12734
2013-01-01,HONDA,5472,5967,5746
2013-01-01,MITSUBISHI,13206,11526,13168
2013-01-01,SUZUKI,11262,14798,12929
2013-01-01,TOYOTA,30901,40679,35923
2013-02-01,DAIHATSU,13041,13123,13675
2013-02-01,HONDA,7344,6747,9529
2013-02-01,MITSUBISHI,13615,12173,13705
2013-02-01,SUZUKI,13635,15902,14909
2013-02-01,TOYOTA,32617,39651,35318
2013-03-01,DAIHATSU,14329,15236,15788
2013-03-01,HONDA,7924,7207,11497
2013-03-01,MITSUBISHI,12428,10758,12689
2013-03-01,SUZUKI,12223,8328,8399
2013-03-01,TOYOTA,33670,37224,32726
2013-04-01,DAIHATSU,14755,14693,15426
2013-04-01,HONDA,7900,6692,6707
2013-04-01,MITSUBISHI,12014,11337,12836
2013-04-01,SUZUKI,12366,13831,13602
2013-04-01,TOYOTA,35579,44703,39668
2013-05-01,DAIHATSU,15307,15380,15941
2013-05-01,HONDA,8253,7563,8313
2013-05-01,MITSUBISHI,13447,9959,11819
2013-05-01,SUZUKI,11142,11792,10008
2013-05-01,TOYOTA,35812,41712,36282
2013-06-01,DAIHATSU,15130,14303,14882
2013-06-01,HONDA,8323,6824,7550
2013-06-01,MITSUBISHI,12210,10327,13204
2013-06-01,SUZUKI,13788,15002,15578
2013-06-01,TOYOTA,36727,36548,35125
2013-07-01,DAIHATSU,15938,14753,15477
2013-07-01,HONDA,6890,5958,8505
2013-07-01,MITSUBISHI,14430,11054,14000
2013-07-01,SUZUKI,16905,18347,16838
2013-07-01,TOYOTA,39497,41699,39210
2013-08-01,DAIHATSU,11793,11303,11689
2013-08-01,HONDA,5151,3452,4163
2013-08-01,MITSUBISHI,8225,9293,10487
2013-08-01,SUZUKI,11268,15131,12006
2013-08-01,TOYOTA,26679,27902,24899
2013-09-01,DAIHATSU,15280,16435,18099
2013-09-01,HONDA,8662,7655,7600
2013-09-01,MITSUBISHI,13608,11704,14269
2013-09-01,SUZUKI,14209,19598,16903
2013-09-01,TOYOTA,39162,46485,40235
2013-10-01,DAIHATSU,17210,19849,20445
2013-10-01,HONDA,5781,8591,7629
2013-10-01,MITSUBISHI,16256,11361,15216
2013-10-01,SUZUKI,12390,16593,13257
2013-10-01,TOYOTA,39334,45416,39246
2013-11-01,DAIHATSU,17100,16496,17039
2013-11-01,HONDA,8177,8407,9578
2013-11-01,MITSUBISHI,13731,11789,13964
2013-11-01,SUZUKI,13260,15402,14539
2013-11-01,TOYOTA,40801,45465,40781
2013-12-01,DAIHATSU,17736,14360,14747
2013-12-01,HONDA,9182,6551,4676
2013-12-01,MITSUBISHI,14635,7911,11982
2013-12-01,SUZUKI,17339,13294,15036
2013-12-01,TOYOTA,44029,41805,34819
2014-01-01,DAIHATSU,16838,15787,16084
2014-01-01,HONDA,6695,6653,9635
2014-01-01,MITSUBISHI,12156,12462,13403
2014-01-01,SUZUKI,14217,13963,14687
2014-01-01,TOYOTA,32545,44934,35886
2014-02-01,DAIHATSU,15461,18232,18988
2014-02-01,HONDA,11225,11037,11915
2014-02-01,MITSUBISHI,13228,11522,14393
2014-02-01,SUZUKI,13639,12429,13581
2014-02-01,TOYOTA,33011,48365,38631
2014-03-01,DAIHATSU,15024,15726,16376
2014-03-01,HONDA,13334,13889,14529
2014-03-01,MITSUBISHI,14262,12054,13668
2014-03-01,SUZUKI,14967,19323,14013
2014-03-01,TOYOTA,34120,50606,38959
2014-04-01,DAIHATSU,14592,15317,15694
2014-04-01,HONDA,12991,15320,13024
2014-04-01,MITSUBISHI,11357,11777,13151
2014-04-01,SUZUKI,12455,17666,13739
2014-04-01,TOYOTA,34271,50308,39323
2014-05-01,DAIHATSU,14766,12093,12260
2014-05-01,HONDA,14436,14816,16356
2014-05-01,MITSUBISHI,10492,9609,10600
2014-05-01,SUZUKI,13223,11401,12662
2014-05-01,TOYOTA,33333,39216,31440
2014-06-01,DAIHATSU,16001,15725,15921
2014-06-01,HONDA,14479,16648,17215
2014-06-01,MITSUBISHI,12675,9941,11398
2014-06-01,SUZUKI,14504,12622,12510
2014-06-01,TOYOTA,35733,50094,39107
2014-07-01,DAIHATSU,15386,15891,16141
2014-07-01,HONDA,12217,12174,12986
2014-07-01,MITSUBISHI,10124,5808,9442
2014-07-01,SUZUKI,13010,11046,12001
2014-07-01,TOYOTA,31282,38344,28757
2014-08-01,DAIHATSU,14594,14602,14701
2014-08-01,HONDA,12500,16434,14799
2014-08-01,MITSUBISHI,10069,8696,10627
2014-08-01,SUZUKI,11296,14230,12512
2014-08-01,TOYOTA,30045,46358,30273
2014-09-01,DAIHATSU,15050,15625,15750
2014-09-01,HONDA,15128,14785,16327
2014-09-01,MITSUBISHI,12842,10914,12421
2014-09-01,SUZUKI,13167,16669,14311
2014-09-01,TOYOTA,31172,46027,29247
2014-10-01,DAIHATSU,15100,15329,15550
2014-10-01,HONDA,12864,15405,14896
2014-10-01,MITSUBISHI,12749,9880,11795
2014-10-01,SUZUKI,12500,16764,15159
2014-10-01,TOYOTA,30042,48305,31538
2014-11-01,DAIHATSU,15512,14376,14593
2014-11-01,HONDA,11557,11087,12418
2014-11-01,MITSUBISHI,11351,9333,11463
2014-11-01,SUZUKI,12378,14610,9703
2014-11-01,TOYOTA,30406,41289,28835
2014-12-01,DAIHATSU,15378,13167,13168
2014-12-01,HONDA,14478,11098,5047
2014-12-01,MITSUBISHI,13163,6269,9607
2014-12-01,SUZUKI,15134,11072,10045
2014-12-01,TOYOTA,32135,38873,27123
2015-01-01,DAIHATSU,14701,14342,14536
2015-01-01,HONDA,11354,12794,4483
2015-01-01,MITSUBISHI,10257,10838,11365
2015-01-01,SUZUKI,11687,9506,12683
2015-01-01,TOYOTA,22555,42493,27166
2015-02-01,DAIHATSU,12980,14139,14523
2015-02-01,HONDA,16138,10986,3147
2015-02-01,MITSUBISHI,8968,8817,11220
2015-02-01,SUZUKI,8909,9631,10017
2015-02-01,TOYOTA,23637,39068,26743
2015-03-01,DAIHATSU,13783,15913,16258
2015-03-01,HONDA,17865,11845,4183
2015-03-01,MITSUBISHI,11045,10208,10212
2015-03-01,SUZUKI,10133,12276,12387
2015-03-01,TOYOTA,28435,45514,31790
2015-04-01,DAIHATSU,14192,14496,14855
2015-04-01,HONDA,12123,9557,2849
2015-04-01,MITSUBISHI,8921,7479,9662
2015-04-01,SUZUKI,10890,13029,8019
2015-04-01,TOYOTA,29713,44367,30050
2015-05-01,DAIHATSU,14513,14195,14486
2015-05-01,HONDA,12229,10548,3954
2015-05-01,MITSUBISHI,9422,7532,9126
2015-05-01,SUZUKI,10391,11032,10017
2015-05-01,TOYOTA,31577,36660,23221
2015-06-01,DAIHATSU,15347,13909,14221
2015-06-01,HONDA,13000,14925,4948
2015-06-01,MITSUBISHI,11223,3734,8748
2015-06-01,SUZUKI,10770,11081,9669
2015-06-01,TOYOTA,31746,40177,23960
2015-07-01,DAIHATSU,11748,8323,8744
2015-07-01,HONDA,10253,8899,2651
2015-07-01,MITSUBISHI,7762,4841,7087
2015-07-01,SUZUKI,9466,9082,9803
2015-07-01,TOYOTA,19902,22857,13488
2015-08-01,DAIHATSU,12166,14958,15808
2015-08-01,HONDA,13100,13766,3007
2015-08-01,MITSUBISHI,9352,6940,9408
2015-08-01,SUZUKI,9909,11243,9916
2015-08-01,TOYOTA,21888,50250,31986
2015-09-01,DAIHATSU,13579,12788,13293
2015-09-01,HONDA,15175,13995,3891
2015-09-01,MITSUBISHI,10202,8408,10564
2015-09-01,SUZUKI,10046,10739,10017
2015-09-01,TOYOTA,26514,51642,32403
2015-10-01,DAIHATSU,14163,13573,13999
2015-10-01,HONDA,13589,14350,4123
2015-10-01,MITSUBISHI,9877,7875,9835
2015-10-01,SUZUKI,9514,12082,9405
2015-10-01,TOYOTA,28880,40638,29826
2015-11-01,DAIHATSU,14345,13808,14144
2015-11-01,HONDA,14232,14317,4760
2015-11-01,MITSUBISHI,9153,7108,8723
2015-11-01,SUZUKI,9336,10922,9288
2015-11-01,TOYOTA,30513,35402,29592
2015-12-01,DAIHATSU,15050,12871,12941
2015-12-01,HONDA,17200,12114,4130
2015-12-01,MITSUBISHI,9798,3160,6577
2015-12-01,SUZUKI,11297,10344,10584
2015-12-01,TOYOTA,30579,22221,21541
2016-01-01,DAIHATSU,14505,13034,13184
2016-01-01,HONDA,13288,18152,17286
2016-01-01,MITSUBISHI,8356,7810,7253
2016-01-01,SUZUKI,11124,10573,10485
2016-01-01,TOYOTA,25381,33913,24781
2016-02-01,DAIHATSU,13567,14451,14764
2016-02-01,HONDA,17659,18517,16609
2016-02-01,MITSUBISHI,7709,6633,7313
2016-02-01,SUZUKI,8182,9037,9275
2016-02-01,TOYOTA,30440,34898,25352
2016-03-01,DAIHATSU,14227,14029,14504
2016-03-01,HONDA,19152,19398,18303
2016-03-01,MITSUBISHI,10635,6771,7075
2016-03-01,SUZUKI,8846,10646,9099
2016-03-01,TOYOTA,29803,43668,29931
2016-04-01,DAIHATSU,15097,14055,14402
2016-04-01,HONDA,11559,17526,13423
2016-04-01,MITSUBISHI,9610,6729,6152
2016-04-01,SUZUKI,7042,11396,8019
2016-04-01,TOYOTA,31626,46967,30917
2016-05-01,DAIHATSU,15211,15637,15928
2016-05-01,HONDA,13846,17407,15746
2016-05-01,MITSUBISHI,6888,6385,6003
2016-05-01,SUZUKI,7561,10760,6172
2016-05-01,TOYOTA,33624,47629,31559
