Tanggal,Brand,Model
2021-04,Daihatsu,Rocky
2021-09,Honda,All New BR-V
2021-11,Toyota,All New Avanza
2021-11,Toyota,All New Veloz
2021-11,Daihatsu,All New Xenia
2022-03,Honda,All New HR-V
2022-08,Suzuki,All New S-Presso
2022-11,Toyota,All New Kijang Innova Zenix
2022-11,Honda,WR-V
2023-02,Toyota,All New Agya
2023-02,Daihatsu,All New Ayla
2023-02,Suzuki,Grand Vitara
2023-05,Toyota,Yaris Cross
2023-06,Suzuki,XL7 Hybrid
2023-08,Mitsubishi,XFORCE
2025-02,Honda,Civic RS e:HEV
2025-05,Suzuki,Fronx
2025-07,Daihatsu,Rocky e-Smart Hybrid
2025-07,Honda,Step WGN e:HEV
2025-07,Mitsubishi,Destinator
2025-07,Suzuki,eVitara
